รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
6,จันทบุรี,โรงพยาบาลนายายอาม,NAYAIAM HOSPITAL,10843,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,จันทบุรี,โรงพยาบาลเขาคิชฌกูฏ,KHAO KHITCHAKUT HOSPITAL,10844,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ตราด,โรงพยาบาลคลองใหญ่,KLONGYAI HOSPITAL,10845,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ตราด,โรงพยาบาลเขาสมิง,KHAOSAMING HOSPITAL,10846,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ตราด,โรงพยาบาลบ่อไร่,BORAI HOSPITAL,10847,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ตราด,โรงพยาบาลแหลมงอบ,LAEMNGOP HOSPITAL,10848,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ตราด,โรงพยาบาลเกาะกูด,KO KUT HOSPITAL,10849,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลบางคล้า,BANGKHLA HOSPITAL,10850,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลบางน้ำเปรี้ยว,BANGNAMPRIEO HOSPITAL,10851,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลบางปะกง,BANGPAKONG  HOSPITAL,10852,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลบ้านโพธิ์,BANPHO HOSPITAL,10853,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลพนมสารคาม,PHANOMSARAKHAM HOSPITAL,10854,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลสนามชัยเขต,SANAMCHAIKHET HOSPITAL,10855,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ฉะเชิงเทรา,โรงพยาบาลแปลงยาว,PLAENGYAO HOSPITAL,10856,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ปราจีนบุรี,โรงพยาบาลกบินทร์บุรี,KABINBURI HOSPITAL,10857,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
6,ปราจีนบุรี,โรงพยาบาลนาดี,NADEE HOSPITAL,10858,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ปราจีนบุรี,โรงพยาบาลบ้านสร้าง,BANSANG HOSPITAL,10859,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ปราจีนบุรี,โรงพยาบาลประจันตคาม,PRACHANTAKAM HOSPITAL,10860,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ปราจีนบุรี,โรงพยาบาลศรีมหาโพธิ,SRIMAHAPHOT HOSPITAL,10861,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,ปราจีนบุรี,โรงพยาบาลศรีมโหสถ,SRIMAHOSOT HOSPITAL,10862,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นครนายก,โรงพยาบาลปากพลี,PAKPLEE HOSPITAL,10863,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นครนายก,โรงพยาบาลบ้านนา,BANNA HOSPITAL,10864,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นครนายก,โรงพยาบาลองครักษ์,ONGKHARAK HOSPITAL,10865,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สระแก้ว,โรงพยาบาลคลองหาด,KLONGHAT HOSPITAL,10866,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สระแก้ว,โรงพยาบาลตาพระยา,TAPHRAYA HOSPITAL,10867,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สระแก้ว,โรงพยาบาลวังน้ำเย็น,WANGNAMYEN HOSPITAL,10868,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สระแก้ว,โรงพยาบาลวัฒนานคร,WATTHANANAKHON HOSPITAL,10869,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
6,สระแก้ว,โรงพยาบาลอรัญประเทศ,ARANYAPRATHET HOSPITAL,10870,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,นครราชสีมา,โรงพยาบาลครบุรี,KHONBURI HOSPITAL,10871,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลเสิงสาง,SOENGSANG HOSPITAL,10872,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลคง,KHONG HOSPITAL,10873,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลบ้านเหลื่อม,BANLUEAM HOSPITAL,10874,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลจักราช,CHAKKARAT HOSPITAL,10875,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลโชคชัย,CHOKCHAI HOSPITAL,10876,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลด่านขุนทด,DANKHUNTHOD HOSPITAL,10877,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลโนนไทย,NONTHAI HOSPITAL,10878,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลโนนสูง,NONSUNG  HOSPITAL,10879,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลขามสะแกแสง,KHAMSAKAESAENG HOSPITAL,10880,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลบัวใหญ่,BUAYAI HOSPITAL,10881,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลประทาย,PRATHAI HOSPITAL,10882,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลปักธงชัย,PAKTHONGCHAI HOSPITAL,10883,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลพิมาย,PHIMAI HOSPITAL,10884,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,นครราชสีมา,โรงพยาบาลห้วยแถลง,HUAITHALAENG HOSPITAL,10885,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลชุมพวง,CHUMPHUANG HOSPITAL,10886,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลสูงเนิน,SUNGNOEN HOSPITAL,10887,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลขามทะเลสอ,KHAMTALESO HOSPITAL,10888,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลสีคิ้ว,SIKHIU HOSPITAL,10889,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลปากช่องนานา,PAKCHONGNANA HOSPITAL,10890,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,นครราชสีมา,โรงพยาบาลหนองบุญมาก,NONGBUNMAK HOSPITAL,10891,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลแก้งสนามนาง,KANGSANAMNANG HOSPITAL,10892,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลโนนแดง,NONDAENG HOSPITAL,10893,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,นครราชสีมา,โรงพยาบาลวังน้ำเขียว,WANGNAMKHEAW HOSPITAL,10894,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลคูเมือง,KHUMUANG HOSPITAL,10895,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลกระสัง,KRASANG HOSPITAL,10896,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลนางรอง,NANGRONG HOSPITAL,10897,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,บุรีรัมย์,โรงพยาบาลหนองกี่,NONGKI HOSPITAL,10898,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลละหานทราย,LAHANSAI HOSPITAL,10899,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลประโคนชัย,PRAKHONCHAI HOSPITAL,10900,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลบ้านกรวด,BANKRUAT HOSPITAL,10901,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลพุทไธสง,PHUTTHAISONG HOSPITAL,10902,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลลำปลายมาศ,LAMPLAIMAT HOSPITAL,10904,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลสตึก,SATUEK HOSPITAL,10905,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลปะคำ,PAKHAM  HOSPITAL,10906,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลนาโพธิ์,NAPHO HOSPITAL,10907,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลหนองหงส์,NONGHONG HOSPITAL,10908,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลพลับพลาชัย,PLABPLACHAI HOSPITAL,10909,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลห้วยราช,HUAIRAT HOSPITAL,10910,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลโนนสุวรรณ,NOONSUWAN HOSPITAL,10911,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลชำนิ,CHAMNI HOSPITAL,10912,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลบ้านใหม่ไชยพจน์,BANMAICHAIYAPHOD HOSPITAL,10913,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,บุรีรัมย์,โรงพยาบาลโนนดินแดง,NONDINDANG HOSPITAL,10914,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลชุมพลบุรี,CHUMPHOLBURI HOSPITAL,10915,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลท่าตูม,THATUM HOSPITAL,10916,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลจอมพระ,CHOMPHRA HOSPITAL,10917,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลปราสาท,PRASAT HOSPITAL,10918,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,สุรินทร์,โรงพยาบาลกาบเชิง,KAP CHOENG  HOSPITAL,10919,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลรัตนบุรี,RATTANABURI HOSPITAL,10920,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลสนม,SANOM HOSPITAL,10921,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลศีขรภูมิ,SIKHORAPHUM HOSPITAL,10922,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลสังขะ,SANGKHA HOSPITAL,10923,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลลำดวน,LAMDUAN HOSPITAL,10924,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลสำโรงทาบ,SAMRONGTHAP HOSPITAL,10925,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,สุรินทร์,โรงพยาบาลบัวเชด,BUACHED. HOSPITAL,10926,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลยางชุมน้อย,YANGCHUMNOI HOSPITAL,10927,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลกันทรารมย์,KANTHARAROM HOSPITAL,10928,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลกันทรลักษ์,KANTHARALAK HOSPITAL,10929,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
10,ศรีสะเกษ,โรงพยาบาลขุขันธ์,KHUKHAN HOSPITAL,10930,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลไพรบึง,PHRAIBUENG HOSPITAL,10931,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลปรางค์กู่,PRANGKU HOSPITAL,10932,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลขุนหาญ,KHUNHAN HOSPITAL,10933,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลราษีไศล,RASISALAI HOSPITAL,10934,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลอุทุมพรพิสัย,UTHUMPHONPHISAI HOSPITAL,10935,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลบึงบูรพ์,BUENGBOON HOSPITAL,10936,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลห้วยทับทัน,HUAITHABTHAN HOSPITAL,10937,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลโนนคูณ,NONKHUN HOSPITAL,10938,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลศรีรัตนะ,SIRATTANA HOSPITAL,10939,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลวังหิน,WANGHIN HOSPITAL,10940,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลน้ำเกลี้ยง,NAMKLIANG HOSPITAL,10941,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลภูสิงห์,PHUSING HOSPITAL,10942,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ศรีสะเกษ,โรงพยาบาลเมืองจันทร์,MUEANGCHAN HOSPITAL,10943,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลศรีเมืองใหม่,SIMUEANGMAI HOSPITAL,10944,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลโขงเจียม,KHONGCHIAM HOSPITAL,10945,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลเขื่องใน,KHUANGNAI HOSPITAL,10946,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลเขมราฐ,KHEMMARAT HOSPITAL,10947,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลนาจะหลวย,NAJALUAI  HOSPITAL,10948,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลน้ำยืน,NUMYUEN HOSPITAL,10949,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลบุณฑริก,BUNTHARIK HOSPITAL,10950,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลตระการพืชผล,TRAKANPHUETPHON HOSPITAL,10951,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลกุดข้าวปุ้น,KUDKHAOPUN HOSPITAL,10952,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลม่วงสามสิบ,MUANGSAMSIP HOSPITAL,10953,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลวารินชำราบ,WARINCHAMRAB   HOSPITAL,10954,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
10,อุบลราชธานี,โรงพยาบาลพิบูลมังสาหาร,PHIBUNMANGSAHAN   HOSPITAL,10956,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลตาลสุม,TANSUM  HOSPITAL,10957,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลโพธิ์ไทร,PHOSAI  HOSPITAL,10958,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลสำโรง,SAMRONG HOSPITAL,10959,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลดอนมดแดง,DON MOD DAENG HOSPITAL,10960,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลสิรินธร,SIRINDHORN HOSPITAL,10961,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,อุบลราชธานี,โรงพยาบาลทุ่งศรีอุดม,THUNGSRIUDOM  HOSPITAL,10962,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลทรายมูล,SAIMOON HOSPITAL,10963,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลกุดชุม,KUDCHUM HOSPITAL,10964,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลคำเขื่อนแก้ว,KHUMKHUEANKHAEO HOSPITAL,10965,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลป่าติ้ว,PATIU HOSPITAL,10966,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลมหาชนะชัย,MAHACHANACHAI HOSPITAL,10967,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลค้อวัง,KHOWANG HOSPITAL,10968,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
10,ยโสธร,โรงพยาบาลไทยเจริญ,THAICHAROEN HOSPITAL,10969,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลบ้านเขว้า,BANKHWAO HOSPITAL,10970,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลคอนสวรรค์,KHONSAWAN HOSPITAL,10971,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลเกษตรสมบูรณ์,KASETSOMBOON HOSPITAL,10972,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลหนองบัวแดง,NONGBUADAENG HOSPITAL,10973,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลจัตุรัส,CHATTURAT HOSPITAL,10974,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลบำเหน็จณรงค์,BAMNETNARONG HOSPITAL,10975,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลหนองบัวระเหว,NONGBUARAWAE HOSPITAL,10976,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลเทพสถิต,THEPSATHIT  HOSPITAL,10977,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
9,ชัยภูมิ,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ,PHUKHIEO  CHALERMPRAKIAT HOSPITAL,10978,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.)
9,ชัยภูมิ,โรงพยาบาลบ้านแท่น,BANTHAEN HOSPITAL,10979,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
